Date,USD (PM),Value,able_trade_gold,gold_growth_rate,bit_growth_rate,gip,bip,gir,bir,C,G,B,total property,gold_macd,bit_macd
2016-09-11,1324.6,621.65,0.0,0.0,0.0,,,,,,,,,0.0,0.0
2016-09-12,1324.6,609.67,1.0,0.0,-0.019271294136572,,,,,,,,,338.1315099715095,157.1599316239317
2016-09-13,1323.65,610.92,1.0,-0.0007171976445718,0.0020502895008775,,,,,,,,,-328.81205470734767,-154.14151757859116
2016-09-14,1321.75,608.82,1.0,-0.0014354247724096,-0.0034374386171674,,,,,,,,,533.706744119103,249.3983093370441
2016-09-15,1310.8,610.38,1.0,-0.008284471344808,0.0025623336946879,,,,,,,,,-517.0400349788073,-241.75388034623603
2016-09-16,1308.35,609.11,1.0,-0.0018690875801037,-0.002080671057374,,,,,,,,,633.2712511112962,296.5935776788367
2016-09-17,1308.35,607.04,0.0,0.0,-0.003398400945642,,,,,,,,,-609.2864357813509,-285.7383088744773
2016-09-18,1308.35,611.58,0.0,0.0,0.0074789140748551,,,,,,,,,669.8173922810081,314.64513875529576
2016-09-19,1314.85,610.19,1.0,0.0049680895784767,-0.0022728015958664,,,,,,,,,-639.766323665879,-300.77083136587316
2016-09-20,1313.8,608.66,1.0,-0.0007985701791078,-0.0025074157229716,,,,,,,,,665.5007557967324,312.4494917281474
2016-09-21,1326.1,598.88,1.0,0.0093621555792357,-0.0160680839877763,,,,,,,,,-631.3875077608203,-298.701171263596
2016-09-22,1339.1,597.42,1.0,0.009803182263781,-0.0024378840502271,,,,,,,,,638.0476771562712,298.5611441405483
2016-09-23,1338.65,594.08,1.0,-0.0003360465984615,-0.0055907067055001,,,,,,,,,-601.9268387407328,-284.43331887133655
2016-09-24,1338.65,603.88,0.0,0.0,0.0164960948020467,,,,,,,,,593.9642125525456,279.4401977395868
2016-09-25,1338.65,601.74,0.0,0.0,-0.0035437504139895,,,,,,,,,-559.1994719436925,-263.9123434147746
2016-09-26,1340.5,598.98,1.0,0.001381989317596,-0.0045866985741349,,,,,,,,,543.2315356650237,254.85877332837347
